State,2018,2025,percentage_increase
Alabama,92,110,19.6
Alaska,7.5,11,46.7
Arizona,140,200,42.9
Arkansas,56,67,19.6
California,650,840,29.2
Colorado,71,92,29.6
Connecticut,77,91,18.2
Delaware,18,23,27.8
District of Columbia,8.9,9,1.1
Florida,540,720,33.3
Georgia,140,190,35.7
Hawaii,28,35,25
Idaho,25,33,32
Illinois,220,260,18.2
Indiana,110,130,18.2
Iowa,64,73,14.1
Kansas,53,62,17
Kentucky,71,86,21.1
Louisiana,87,110,26.4
Maine,28,35,25
Maryland,110,130,18.2
Massachusetts,130,150,15.4
Michigan,180,220,22.2
Minnesota,94,120,27.7
Mississippi,54,65,20.4
Missouri,110,130,18.2
Montana,20,27,35
Nebraska,34,40,17.6
Nevada,45,64,42.2
New Hampshire,24,32,33.3
New Jersey,180,210,16.7
New Mexico,39,53,35.9
New York,400,460,15
North Carolina,170,210,23.5
North Dakota,14,16,14.3
Ohio,220,250,13.6
Oklahoma,64,76,18.8
Oregon,65,84,29.2
Pennsylvania,280,320,14.3
Rhode Island,23,27,17.4
South Carolina,89,120,34.8
South Dakota,17,20,17.6
Tennessee,120,140,16.7
Texas,380,490,28.9
Utah,31,42,35.5
Vermont,13,17,30.8
Virginia,140,190,35.7
Washington,110,140,27.3
West Virginia,38,44,15.8
Wisconsin,110,130,18.2
Wyoming,9.7,13,34
